"","avg_price","coral_cover","dist_to_reef","dive_site","beach_width","near_dist_beach","dist_to_access_points","class","rating","num_reviews","number_rooms","air_trans","bar","beachfront","biz_center","breakfast","concierge","conference","free_parking","gym","laundry","mtg_rooms","multilingual","no_smoke","wheelchair","wifi","dist_to_airport"
"1",761,77791886.56,1651.496349,"0",15.02361471,1682.253015,1897.211353,4,4.5,3109,100,"0","1","0","0","0","1","1","0","1","0","1","1","1","1","1",172639.5473
"2",697,82829476.93,1586.588173,"0",9.07712733,1555.968957,1623.571553,4,4.5,1909,96,"0","1","0","1","0","1","0","0","1","1","0","1","0","1","1",172502.8765
"3",720,86685917.27,1257.834752,"0",15.79760133,1270.536365,1612.557328,3.5,4,367,66,"0","0","0","0","0","1","0","0","0","1","0","1","0","1","1",172248.698
"4",683,83552775.1,179.6769063,"0",0,115.4744498,185.0629346,4,5,2093,34,"0","0","0","0","0","1","0","1","0","1","0","1","1","1","1",170995.7055
"5",580,83547641.71,173.6258765,"0",23.49263815,77.04288153,235.2209359,4,3.5,4232,150,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",170969.6806
"6",602.5,84219382.1,42.19049831,"0",0,32.69059588,50.43860716,3,4.5,960,18,"0","0","0","0","1","1","0","0","0","0","0","1","1","0","1",170915.9612
"7",628.5,81832086.78,302.2104575,"0",13.38592769,279.9918565,299.5573915,3.5,5,431,22,"0","1","0","1","0","1","0","1","1","1","0","1","1","1","1",171197.1802
"8",550.5,85577815.59,100.1503504,"0",33.3249312,55.3243926,366.6629227,4,4,8079,311,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","0",170898.376
"9",585,74647230.32,1873.02711,"0",8.74912066,1821.167652,1935.619376,4,4.5,2734,120,"0","1","1","1","0","1","1","0","1","0","1","1","1","1","1",172765.8416
"10",514,80981008.71,201.5479686,"0",0,1762.087343,2671.626414,3.5,4.5,3100,213,"1","1","0","1","0","1","1","0","1","1","1","1","1","1","1",172671.5586
"11",499,83380290.03,160.7504423,"0",13.76753492,1596.045106,1614.916185,4,4.5,4545,148,"0","1","0","1","0","1","0","0","1","0","0","1","1","1","1",172500.8208
"12",494.5,110967442.1,229.4794204,"0",0,2125.516423,4188.348697,4,4.5,1373,175,"0","1","0","0","0","1","0","0","0","0","0","0","1","1","0",171403.5677
"13",540,76805362.4,894.2864073,"0",8.245357305,864.8592657,944.238071,4,5,1999,20,"0","1","0","0","1","1","0","0","0","1","0","1","1","0","1",171810.3262
"14",461.5,81017431.13,290.974313,"0",0,1645.83499,2508.089504,3.5,4,952,141,"0","1","0","1","0","1","0","1","1","1","1","0","1","1","1",172545.3272
"15",519,77830057.13,1830.581375,"0",9.30053945,1784.924142,1888.220862,3,4,558,20,"0","1","1","0","0","1","0","1","1","1","0","0","1","1","1",172730.9539
"16",487.5,82260730.23,361.302043,"0",20.47030639,332.5442288,410.3496916,3,4.5,438,5,"0","0","0","0","0","0","0","1","0","1","0","0","1","0","1",171121.6039
"17",513.5,83151142.84,178.7405938,"0",11.83877294,162.7171001,176.0417976,4,4.5,7111,261,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",171073.8331
"18",455,80560835.24,348.685727,"0",0.959251225,331.5558216,412.0831877,2.5,4.5,852,21,"0","0","0","0","0","0","0","1","0","0","0","1","1","0","1",171264.7691
"19",510,86696533.26,1276.099964,"0",2.15402527,1230.811907,1396.120204,3.5,4.5,643,36,"0","1","0","0","0","1","0","0","0","1","0","1","1","1","1",172168.8859
"20",471.5,90878631.72,1311.45966,"0",1.76959635,1295.229824,1316.575106,3,4.5,354,9,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",172214.4199
"21",541.5,75111326.36,1769.982579,"0",1.70928965,1785.958648,1939.755207,4,4.5,2681,142,"0","1","1","0","0","1","1","0","1","1","1","1","1","1","1",172721.2309
"22",440,82824183.69,50.90072115,"0",5.57217288,2110.54238,2239.191125,3.5,4.5,262,106,"0","1","0","1","0","1","0","1","1","1","0","0","0","0","1",172880.108
"23",461,114488343.3,633.9847774,"0",0,1373.852008,3279.838521,4,4.5,673,100,"0","1","0","1","0","1","0","1","1","1","1","1","1","1","1",171776.0433
"24",470.5,96535336.23,205.770597,"0",32.43195225,109.8639171,407.2975341,3.5,4,2652,184,"1","1","0","1","0","1","1","0","1","1","1","1","1","1","1",171011.4911
"25",467.5,82959437.87,64.89152664,"0",4.45306299,2116.885106,2290.603475,3.5,4.5,9,64,"0","0","0","0","0","0","0","1","0","0","0","1","1","1","1",172848.9222
"26",471,80647998.14,202.2071921,"0",2.845301659,171.0063951,338.8767209,3.5,4.5,202,5,"1","0","0","0","0","0","0","1","0","0","0","0","1","0","1",171111.3585
"27",476,81590724.75,745.9188078,"0",1.184591631,730.1175814,766.4699477,3.5,4.5,1693,18,"0","0","0","0","1","0","0","0","0","0","0","1","1","0","1",171656.273
"28",475.5,74482788.92,475.0059959,"0",5.774110072,447.8938477,549.1550159,3.5,5,2407,24,"0","1","0","0","1","0","0","0","0","0","0","1","1","1","1",171390.4704
"29",508.5,81068786.9,58.46493733,"0",0,1766.103258,2785.590183,3.5,4.5,680,74,"0","1","1","0","0","1","0","1","0","1","0","1","1","1","1",172677.6935
"30",500.5,81653727.35,523.4636137,"0",1.357131787,507.8985279,555.4717438,3.5,5,1894,22,"0","1","0","0","1","1","0","0","0","0","0","1","1","1","1",171435.6003
"31",512.5,95834418.81,146.524813,"0",4.414970527,105.4531653,1712.553422,3.5,4.5,828,93,"0","1","0","1","0","1","0","1","0","1","0","1","1","1","1",170763.3965
"32",446.5,79339373.14,1055.822988,"0",8.3686684,1003.907727,1163.949215,3,4.5,1785,25,"0","0","0","0","1","0","0","0","0","0","0","1","0","0","1",171947.7502
"33",402.5,96287078.9,145.1935559,"0",4.825288994,85.90499628,1910.339036,2.5,4,2096,100,"1","1","0","1","1","0","0","1","0","1","0","1","1","1","1",170848.7066
"34",409.5,81885990.82,255.3389441,"0",6.150872319,204.345382,257.0008663,3.5,4.5,2722,61,"0","0","0","0","1","0","0","1","0","0","0","1","1","1","1",171112.5888
"35",422,87462978.99,1617.996498,"0",9.38994982,1582.63179,1616.023333,3,4,759,38,"0","0","0","0","1","0","0","0","0","0","0","1","1","0","1",172493.2532
"36",455,86745805.38,1487.14146,"0",10.21637551,1443.324709,1546.831835,3,4.5,569,22,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",172390.9556
"37",425,81529922.29,729.4374128,"0",9.747171655,693.9166752,727.6225409,2.5,4.5,1466,37,"0","0","0","0","1","0","0","0","0","0","0","1","1","0","1",171612.5221
"38",516,90384132.67,150.7090038,"0",2.454674014,105.8287215,630.9032684,3,4,161,48,"0","0","1","0","0","0","0","1","0","0","0","0","1","1","1",170992.2738
"39",445,86199618.26,1191.022786,"0",9.47072566,1156.548185,1241.690943,3.5,5,1130,27,"0","0","0","0","0","1","0","1","0","1","0","1","1","1","1",172104.8295
"40",455.5,87678390.83,1049.899613,"0",13.18760821,1033.949774,1397.220041,3.5,4.5,238,8,"0","0","0","0","1","0","0","1","0","0","0","1","1","0","1",171995.372
"41",427,74605889.33,584.9950857,"0",9.941314835,524.1156665,699.6787702,3.5,4,1091,40,"0","1","0","0","1","0","0","0","0","0","0","1","1","0","1",171471.1564
"42",418,74406617.6,585.4720212,"0",9.533036679,546.1842503,669.039353,3.5,5,583,7,"0","0","0","0","1","0","0","1","0","0","0","1","1","0","1",171494.5654
"43",398.5,81095827.61,345.5209567,"0",0,1490.182887,2435.510424,3.5,4,746,133,"0","1","0","1","1","1","0","0","1","1","1","1","1","1","1",172392.4764
"44",383.5,83612010.39,62.80708899,"0",1.00782879,1892.162489,2547.392239,4,4,960,145,"0","1","0","1","0","1","0","1","1","0","1","1","1","1","0",172768.4325
"45",391.5,74405610.62,595.1734882,"0",5.176222487,570.121114,654.103859,3,3.5,726,26,"0","0","0","0","1","0","0","1","0","0","0","1","0","0","0",171511.6106
"46",373,74400017.92,620.1003469,"0",8.798761789,586.411772,691.7928594,2,4,185,8,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",171533.4138
"47",397,81618019.51,698.0012296,"0",10.44322118,665.2843387,695.9222215,2.5,4,948,48,"0","0","0","0","1","0","0","0","0","0","0","1","1","0","1",171586.5976
"48",378,74525800.98,710.6165012,"0",8.93063219,677.0713205,776.3331339,3,4,695,28,"0","0","0","0","1","1","0","0","0","0","0","1","1","0","1",171624.3123
"49",381,81103364.31,99.70110464,"0",0,88.5196836,94.1359481,4,4.5,514,10,"0","0","0","0","1","0","0","1","0","0","0","0","1","0","1",170974.4122
"50",391,87510943.36,1538.831596,"0",13.66801962,1492.154271,1537.62715,3.5,5,1172,17,"0","1","0","0","1","1","0","0","0","0","0","1","1","0","1",172382.8786
"51",376.5,80920800.39,145.3142504,"0",0,1791.078196,2500.132438,4,4,1393,100,"0","1","0","0","0","1","0","1","1","1","0","1","1","1","1",172671.8502
"52",386,81741987.91,793.1541152,"0",0.861481033,776.4670699,818.7901435,2.5,4.5,647,22,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",171706.1031
"53",372.5,83142776.41,247.9926858,"0",13.52145161,230.1365009,245.1216007,2.5,4,1199,38,"0","1","0","0","1","0","0","0","1","0","0","1","0","1","1",171143.0978
"54",351,90960048.7,1395.582383,"0",11.20831566,1368.02918,1392.886708,2.5,4.5,1752,35,"0","0","0","0","1","1","0","0","0","0","0","1","0","1","1",172290.039
"55",375,86993354.06,468.7993163,"0",23.60589728,1265.392057,1386.093944,3,4,1775,106,"0","1","0","1","1","1","0","1","1","1","0","1","1","1","1",172158.4713
"56",386,81620823.71,762.859368,"0",19.03979752,703.4608247,762.9597797,3.5,4.5,1919,50,"0","0","0","0","1","0","0","1","0","0","0","1","1","1","1",171599.4306
"57",412,82597501.3,1662.010848,"0",7.34058364,1635.830552,1689.743215,3,4.5,36,6,"1","1","1","0","0","0","0","0","0","0","0","0","1","0","0",172578.4042
"58",374,86078842.11,1205.196346,"0",7.87652368,1177.638702,1242.797141,3.5,5,1559,20,"0","0","0","1","1","1","0","1","0","0","0","1","1","1","1",172121.8797
"59",357,74523387.73,699.7271652,"0",9.68306699,660.7944981,775.3304391,3.5,5,947,11,"0","0","0","0","1","0","0","0","0","0","0","0","1","0","1",171609.2893
"60",340.5,81722591.19,847.0765268,"0",1.018336699,830.8701879,867.0013996,2,4,449,17,"0","0","0","0","1","0","0","1","0","0","0","0","1","0","1",171757.9857
"61",345,84421212.02,1309.796722,"0",9.00636914,1255.140678,1384.108515,3,4.5,918,14,"0","0","0","0","1","1","0","0","0","0","0","1","1","0","1",172200.7909
"62",365,83294692.76,12.25379049,"0",14.32485576,1804.214263,1807.312275,3,4,723,68,"0","1","0","1","0","1","0","1","1","1","1","1","1","1","1",172702.83
"63",355.5,86055152.03,1382.191934,"0",0.84969422,1365.708739,1393.328213,3,4.5,1215,24,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1",172290.2428
"64",339,87475806.84,1484.157003,"0",9.32295974,1448.404986,1482.233425,3.5,4.5,2077,35,"0","0","0","0","0","1","0","1","0","1","0","1","1","0","1",172359.0775
"65",324.5,84402967.08,1330.142064,"0",8.42783815,1278.975178,1420.994639,2.5,4.5,759,6,"0","0","0","0","0","1","0","0","0","0","0","0","1","0","1",172222.6607
